Gene	TSS	Coverage

SIX5	chr19_46272497	2.63247872006
CREG2	chr2_102003965	8.41867461101
BCAR1	chr16_75299905	4.95742783285
ATXN2L	chr16_28834368	2.9450338443
ZNF672	chr1_249132376	4.17790102674
FGF14	chr13_103054124	6.603127131
OR7A5	chr19_14939276	6.04607789003
MAP1LC3B2	chr12_116997185	6.53003821845
GRPEL1	chr4_7069800	5.31748597375
LCN9	chr9_138555167	7.33730491261
PLA2G15	chr16_68279246	5.07422505793
BTN1A1	chr6_26501494	6.6453085889
FAM183A	chr1_43613593	6.81570120556
CPEB2	chr4_15004297	4.12944317329
HSPBP1	chr19_55791751	3.72725405287
CBX5	chr12_54673915	2.60677193961
CAV1	chr7_116166346	7.09991243056
C16orf89	chr16_5116146	7.29258187161
SERF2	chr15_44084574	4.57175633045
ETV7	chr6_36355568	7.08610575434
AKR1B1	chr7_134143888	7.66973004986
TAAR8	chr6_132873831	6.09406799317
CTSC	chr11_88070941	4.84456630936
FBXO10	chr9_37576250	6.78288853524
C1QTNF7	chr4_15429628	6.76091340761
ABI2	chr2_204192961	4.89700595966
CECR6	chr22_17602257	5.15646070935
RRBP1	chr20_17662928	2.68753353362
ENTPD1	chr10_97515408	6.93237495765
MTF2	chr1_93544791	4.94835350936
COG7	chr16_23464512	5.24269466257
APOE	chr19_45409277	5.94037883966
CHPF2	chr7_150929574	5.00938437815
IRAK4	chr12_44152746	3.96347866108
ZNF347	chr19_53662322	4.36414406579
HDAC3	chr5_141016423	4.41793821453
ATP2C1	chr3_130613433	4.00091815449
NDRG1	chr8_134309547	4.7424440204
ABI3	chr17_47287588	6.74294963574
ETFDH	chr4_159593252	3.41128165822
ITGB4	chr17_73717515	5.35503504781
KRT32	chr17_39623638	8.88223682831
MYL1	chr2_211179895	6.32348553938
NPFF	chr12_53901422	7.04863212306
RMND5A	chr2_86947413	3.91010981069
HECTD2	chr10_93170041	4.69273143405
SDS	chr12_113841692	6.9135783021
CBX1	chr17_46178883	3.86998495443
PRDM2	chr1_14075875	5.16238912073
TMEM229B	chr14_67982021	5.31227686284
WDR6	chr3_49044636	5.23454186235
ECHDC1	chr6_127663552	5.65159912682
NEK5	chr13_52703228	5.61004963888
EGR2	chr10_64578927	5.66548448822
LMF1	chr16_1020984	4.46073163326
FAM171B	chr2_187558788	5.71959881374
DDT	chr22_24322019	3.03166112849
NR2C2	chr3_14989090	3.5488268697
OPCML	chr11_132813037	7.35725917316
ENO1	chr1_8939151	4.40258679415
TAF12	chr1_28969604	5.901446213
TTC1	chr5_159436106	4.50587429539
PRSS3	chr9_33795558	10.1429009443
RTF1	chr15_41709301	5.01459866743
MYL12A	chr18_3252210	4.21885832398
ATP6V1G1	chr9_117349993	3.86810039956
TINF2	chr14_24711880	4.55490370511
ZNF467	chr7_149470295	2.7193549747
SPATA13	chr13_24844824	6.68543066725
OR1F1	chr16_3254246	7.54724407996
MXI1	chr10_111967362	4.79470285679
ARL4D	chr17_41476352	4.14188306101
FERD3L	chr7_19185044	7.45151941589
ZNF131	chr5_43121609	4.1250379922
TTI1	chr20_36661870	4.54759713611
LRRC52	chr1_165513477	6.84153668507
RANBP2	chr2_109335936	4.74233446126
SPDYE2	chr7_102290771	4.55487001944
ELAVL4	chr1_50571936	6.74997647381
RNF166	chr16_88770025	7.44355085766
ZNF775	chr7_150076405	4.52977102886
ATF5	chr19_50431958	3.42666126647
RANGRF	chr17_8191968	5.82650139574
ATL2	chr2_38603672	3.80693562408
RNF122	chr8_33424646	5.92796848159
GAS8	chr16_90086036	4.76740508151
KRTAP10-11	chr21_46066330	7.05683635617
SLC12A5	chr20_44657820	5.53528868623
CNTN3	chr3_74570291	4.97955583928
HS3ST1	chr4_11430537	7.32683869162
OR5AK2	chr11_56756388	5.53277948736
CTSO	chr4_156875048	5.48072953398
CCNH	chr5_86708721	4.62673718041
PPFIBP2	chr11_7626964	6.61595170213
PDS5B	chr13_33160563	2.76117862923
TNFRSF14	chr1_2487803	4.73658337921
IFI30	chr19_18284589	5.25917932582
OSGIN2	chr8_90914095	5.55057325535
NOB1	chr16_69788871	3.59223218775
CRYGB	chr2_209010877	7.68659176134
ABCA2	chr9_139922740	3.92816052694
ATP8B3	chr19_1812275	4.47092779144
TNS1	chr2_218808796	6.67657619635
FGR	chr1_27952751	6.67958322825
DKK1	chr10_54074040	7.32772576376
CDK15	chr2_202671301	6.22179478322
FGD4	chr12_32654976	5.9454417865
FRMD6	chr14_52118575	4.89465250748
EBF1	chr5_158526788	5.31225206655
RAB18	chr10_27793102	4.41988771983
OR6K6	chr1_158724605	7.08307072125
KCNJ9	chr1_160051359	7.25021883702
STMN1	chr1_26232993	4.57241573563
C11orf57	chr11_111944967	5.33996242877
ENO3	chr17_4854383	5.04989619153
PABPC1	chr8_101734315	3.79188679541
CIB1	chr15_90808991	4.16669823989
KRTAP5-2	chr11_1619524	6.87534106705
ERBB2	chr17_37844336	4.63775146389
EXOSC7	chr3_45017740	4.13492475775
SETMAR	chr3_4344987	4.84300725806
LTBP1	chr2_33359663	7.24325275168
CMTM3	chr16_66638633	5.62401691615
PABPC4	chr1_40042521	5.23665235108
EMILIN1	chr2_27301434	7.60821687443
YEATS4	chr12_69753489	3.50888423367
OMP	chr11_76813885	8.10184573315
MAPK11	chr22_50708822	4.3377466017
ACTR3B	chr7_152456833	4.16145021438
ST3GAL3	chr1_44173203	5.36929245486
TMEM100	chr17_53809482	6.43916703527
RAB27A	chr15_55563107	7.2380630391
