ID	Mean	NonPregnant1	NonPregnant2	NonPregnant3	NonPregnant4	Gene	RefSeq	Region
8030368	13.1639475	13.16602	13.21423	13.15804	13.1175	RPS11	NM_001015 	chr19:49999634-50002946
8160308	13.12612	13.12611	13.1171	13.06527	13.196	RPS6	NM_001010 	chr9:19200287-19380259
8030351	12.9891125	13.01526	13.02849	12.98079	12.93191	RPL13A	NM_012423 	chr19:49990856-49995565
8076209	12.946515	12.97638	12.91847	12.9339	12.95731	RPL3	NM_000967 	chr22:39708887-39716396
8043100	12.7684875	12.81518	12.81189	12.79028	12.6566	TMSB10	NM_021103 	chr2:85132763-85133799
8173513	12.69178	12.67517	12.75842	12.65512	12.67841	RPS4X	NM_001007 	chrX:71491892-71497150
8022170	12.6762725	12.70601	12.686	12.57764	12.73544	RPL6	NM_001024662 	chr18:6462087-6463030
7904726	12.6454375	12.44369	12.77925	12.76414	12.59467	TXNIP	NM_006472 	chr1:145438469-145442635
8005166	12.6092275	12.69853	12.54156	12.48585	12.71097	UBB	NM_018955 	chr17:16284367-16286057
8137979	12.5956025	12.62082	12.65916	12.70358	12.39885	ACTB	NM_001101 	chr7:5566782-5570223
8058221	12.553785	13.12767	12.3649	12.00686	12.71571	TRAK2	NM_015049 	chr2:202241930-202316270
7991766	12.4994575	13.05698	12.61268	11.94061	12.38756	HBA1	NM_000558 	chr16:226650-227521
7991762	12.4994575	13.05698	12.61268	11.94061	12.38756	HBA2	NM_000517 	chr16:222846-223709
8009561	12.4871625	12.58545	12.67411	12.43225	12.25684	RPL38	NM_000999 	chr17:72199795-72206019
8059689	12.4768575	12.49379	12.4417	12.35608	12.61586	NCL	NM_005381 	chr2:232319459-232329211
7900585	12.4656325	12.62928	12.40796	12.31401	12.51128	YBX1	NM_004559 	chr1:43148059-43168073
7946033	12.4570725	12.68807	12.37877	12.24036	12.52109	HBB	NM_000518 	chr11:5246694-5248427
8156750	12.4507525	12.55072	12.54613	12.17943	12.52673	ANP32B	NM_006401 	chr9:100745641-100778225
7961532	12.4371025	12.44783	12.5041	12.43572	12.36076	ARHGDIB	NM_001175 	chr12:15094949-15114603
