Gene	TSS	Coverage

SIX5	chr19_46272497	9.46129360156
CREG2	chr2_102003965	8.62002098836
BCAR1	chr16_75299905	4.91724189337
ATXN2L	chr16_28834368	6.31375054361
ZNF672	chr1_249132376	3.68644339506
FGF14	chr13_103054124	11.6209954078
OR7A5	chr19_14939276	14.312692648
MAP1LC3B2	chr12_116997185	11.5700182116
GRPEL1	chr4_7069800	4.73396727959
LCN9	chr9_138555167	17.5119047158
PLA2G15	chr16_68279246	3.93414676483
BTN1A1	chr6_26501494	11.9222752808
FAM183A	chr1_43613593	12.007253996
CPEB2	chr4_15004297	4.33728399698
HSPBP1	chr19_55791751	5.82096854841
CBX5	chr12_54673915	3.2597515078
CAV1	chr7_116166346	5.06432671552
C16orf89	chr16_5116146	15.0205324554
SERF2	chr15_44084574	2.6193008781
ETV7	chr6_36355568	11.0235936225
AKR1B1	chr7_134143888	9.30280834849
TAAR8	chr6_132873831	13.4928293862
CTSC	chr11_88070941	3.29974120145
FBXO10	chr9_37576250	8.72557505166
C1QTNF7	chr4_15429628	12.7474705941
ABI2	chr2_204192961	7.98209186536
CECR6	chr22_17602257	8.79534229164
RRBP1	chr20_17662928	4.32810352154
ENTPD1	chr10_97515408	11.8290424387
MTF2	chr1_93544791	6.05119626249
COG7	chr16_23464512	8.63050258106
APOE	chr19_45409277	9.03671923504
CHPF2	chr7_150929574	3.07117277179
IRAK4	chr12_44152746	5.47907278891
ZNF347	chr19_53662322	3.92444798413
HDAC3	chr5_141016423	5.75547231959
ATP2C1	chr3_130613433	5.99509721244
NDRG1	chr8_134309547	7.01868463953
ABI3	chr17_47287588	12.1002082716
ETFDH	chr4_159593252	4.60984455707
ITGB4	chr17_73717515	7.28868002674
KRT32	chr17_39623638	10.2456707207
MYL1	chr2_211179895	11.4048428251
NPFF	chr12_53901422	8.30485459169
RMND5A	chr2_86947413	2.18524721299
HECTD2	chr10_93170041	5.96021749907
SDS	chr12_113841692	14.8411788867
CBX1	chr17_46178883	6.49603983888
PRDM2	chr1_14075875	3.16129413408
TMEM229B	chr14_67982021	6.34185137103
WDR6	chr3_49044636	8.89647088353
ECHDC1	chr6_127663552	9.55451887269
NEK5	chr13_52703228	10.2862315403
EGR2	chr10_64578927	9.26310384055
LMF1	chr16_1020984	6.42988922519
