Gene	TSS	Coverage

SIX5	chr19_46272497	3.06322318979
CREG2	chr2_102003965	4.11943556906
BCAR1	chr16_75299905	2.65067655107
ATXN2L	chr16_28834368	2.217715687
ZNF672	chr1_249132376	1.78914323589
FGF14	chr13_103054124	1.08615571275
OR7A5	chr19_14939276	3.78644162786
MAP1LC3B2	chr12_116997185	4.98439859652
GRPEL1	chr4_7069800	3.89680369214
LCN9	chr9_138555167	6.25603039044
PLA2G15	chr16_68279246	1.17148699801
BTN1A1	chr6_26501494	3.6887584411
FAM183A	chr1_43613593	3.32158430488
CPEB2	chr4_15004297	1.26333844814
HSPBP1	chr19_55791751	1.57059637312
CBX5	chr12_54673915	0.663399943608
CAV1	chr7_116166346	3.22723118814
C16orf89	chr16_5116146	2.81907669596
SERF2	chr15_44084574	2.02716081109
ETV7	chr6_36355568	6.98881579863
AKR1B1	chr7_134143888	4.51454249048
TAAR8	chr6_132873831	5.71770152708
CTSC	chr11_88070941	3.70772850973
FBXO10	chr9_37576250	3.98574291029
C1QTNF7	chr4_15429628	6.26434396248
ABI2	chr2_204192961	3.01898905859
CECR6	chr22_17602257	3.46469779684
RRBP1	chr20_17662928	1.85195567261
ENTPD1	chr10_97515408	6.33816023211
MTF2	chr1_93544791	0.578349397301
COG7	chr16_23464512	3.98352261757
APOE	chr19_45409277	3.19434670516
CHPF2	chr7_150929574	3.32396232123
IRAK4	chr12_44152746	1.42316194617
ZNF347	chr19_53662322	1.69936275999
HDAC3	chr5_141016423	3.65731236815
ATP2C1	chr3_130613433	1.8172681695
NDRG1	chr8_134309547	1.64187590754
ABI3	chr17_47287588	3.10337698081
ETFDH	chr4_159593252	1.91830346745
ITGB4	chr17_73717515	2.40982529951
KRT32	chr17_39623638	4.78087051604
MYL1	chr2_211179895	5.01859330142
NPFF	chr12_53901422	3.40182715079
RMND5A	chr2_86947413	1.84876463071
HECTD2	chr10_93170041	2.23615990211
SDS	chr12_113841692	4.98418070884
CBX1	chr17_46178883	1.91601234344
PRDM2	chr1_14075875	1.38114787363
TMEM229B	chr14_67982021	4.07468846986
WDR6	chr3_49044636	3.2681259426
ECHDC1	chr6_127663552	4.2995109099
NEK5	chr13_52703228	4.44764730523
EGR2	chr10_64578927	2.7595764394
LMF1	chr16_1020984	3.43964725654
FAM171B	chr2_187558788	3.61760785147
DDT	chr22_24322019	2.56549846711
