Gene	TSS	Coverage

SIX5	chr19_46272497	10.7072209307
CREG2	chr2_102003965	16.1295956474
BCAR1	chr16_75299905	15.5241430278
ATXN2L	chr16_28834368	9.45613980248
ZNF672	chr1_249132376	9.5953153503
FGF14	chr13_103054124	17.8725603224
OR7A5	chr19_14939276	20.6077407534
MAP1LC3B2	chr12_116997185	13.8954678521
GRPEL1	chr4_7069800	11.5869745689
LCN9	chr9_138555167	19.6562905112
PLA2G15	chr16_68279246	10.0265293442
BTN1A1	chr6_26501494	17.8257511867
FAM183A	chr1_43613593	24.0084645436
CPEB2	chr4_15004297	7.28953043021
HSPBP1	chr19_55791751	9.39245839647
CBX5	chr12_54673915	7.69682538707
CAV1	chr7_116166346	13.791054991
C16orf89	chr16_5116146	21.4778779298
SERF2	chr15_44084574	10.6707933986
ETV7	chr6_36355568	19.1508456506
AKR1B1	chr7_134143888	16.8168771394
TAAR8	chr6_132873831	22.2007499771
CTSC	chr11_88070941	13.019816187
FBXO10	chr9_37576250	16.4539290671
C1QTNF7	chr4_15429628	23.0052202548
ABI2	chr2_204192961	14.1686294008
CECR6	chr22_17602257	13.1963144628
RRBP1	chr20_17662928	6.94350487106
ENTPD1	chr10_97515408	19.9912499902
MTF2	chr1_93544791	13.7807446351
COG7	chr16_23464512	16.0611331667
APOE	chr19_45409277	14.1258172152
CHPF2	chr7_150929574	12.2840333076
IRAK4	chr12_44152746	12.6029274689
ZNF347	chr19_53662322	11.5555926919
HDAC3	chr5_141016423	10.4642640385
ATP2C1	chr3_130613433	12.1930179703
NDRG1	chr8_134309547	11.4087147254
ABI3	chr17_47287588	18.9899736294
ETFDH	chr4_159593252	10.0988600571
ITGB4	chr17_73717515	17.6885134517
KRT32	chr17_39623638	22.6974226883
MYL1	chr2_211179895	19.0156406843
NPFF	chr12_53901422	15.6511751469
RMND5A	chr2_86947413	8.28791139819
HECTD2	chr10_93170041	13.1263741377
SDS	chr12_113841692	20.2111678376
CBX1	chr17_46178883	13.4437839576
PRDM2	chr1_14075875	11.2868569631
TMEM229B	chr14_67982021	13.9698335088
WDR6	chr3_49044636	10.6826470838
ECHDC1	chr6_127663552	17.2892324774
NEK5	chr13_52703228	14.3122953584
EGR2	chr10_64578927	16.3222435734
LMF1	chr16_1020984	12.3252222016
FAM171B	chr2_187558788	14.8663647037
DDT	chr22_24322019	12.7472657145
NR2C2	chr3_14989090	8.11118397739
OPCML	chr11_132813037	18.1457048946
ENO1	chr1_8939151	9.23599080537
TAF12	chr1_28969604	16.0591998436
TTC1	chr5_159436106	14.4700971947
PRSS3	chr9_33795558	32.5157024973
RTF1	chr15_41709301	13.0567038382
MYL12A	chr18_3252210	18.8531280033
ATP6V1G1	chr9_117349993	13.4487953361
TINF2	chr14_24711880	10.2386777738
ZNF467	chr7_149470295	6.50618251577
SPATA13	chr13_24844824	16.0979561945
OR1F1	chr16_3254246	20.7601874584
MXI1	chr10_111967362	14.0874097798
ARL4D	chr17_41476352	12.3108928407
